"","date.local","location","value","unit","country"
"6054","2016-01-31T16:00:00-03:00","Universidad de Talca",8.11,"µg/m³","CL"
"6055","2016-01-31T16:00:00-03:00","Viña del Mar",18.77,"µg/m³","CL"
"6056","2016-01-31T16:00:00-03:00","Valdivia",10.69,"µg/m³","CL"
"6057","2022-10-13T18:00:00-05:00","Jackson NCORE",6.4,"µg/m³","US"
"6058","2016-01-31T16:00:00-03:00","Rancagua I",1,"µg/m³","CL"
"6059","2016-01-31T16:00:00-03:00","La Florida",19,"µg/m³","CL"
"6060","2016-01-31T16:00:00-03:00","Antofagasta",1,"µg/m³","CL"
"6061","2016-01-31T16:00:00-03:00","U.C. Maule",6.777,"µg/m³","CL"
"6062","2016-01-31T16:00:00-03:00","Talagante",8.2,"µg/m³","CL"
"6063","2016-01-31T16:00:00-03:00","Cerrillos",12,"µg/m³","CL"
"6064","2016-01-31T16:00:00-03:00","Cerro Navia",13,"µg/m³","CL"
"6065","2016-01-31T16:00:00-03:00","Coyhaique",1,"µg/m³","CL"
"6066","2016-01-31T16:00:00-03:00","Curicó",10.8,"µg/m³","CL"
"6067","2016-01-31T16:00:00-03:00","Independencia",16,"µg/m³","CL"
"6068","2016-01-31T16:00:00-03:00","Osorno",1.452,"µg/m³","CL"
"6069","2016-01-31T16:00:00-03:00","El Bosque",18,"µg/m³","CL"
"6070","2016-01-31T16:00:00-03:00","Quilpue",6.965,"µg/m³","CL"
"6071","2016-01-31T16:00:00-03:00","Puente Alto",21,"µg/m³","CL"
"6072","2016-01-31T16:00:00-03:00","Pudahuel",12,"µg/m³","CL"
"6073","2016-01-31T20:00:00+01:00","Utrecht-Griftpark",8.24794416666667,"µg/m³","NL"
"6074","2016-01-31T20:00:00+01:00","Utrecht-Kardinaal de Jongweg",5.12243541666667,"µg/m³","NL"
"6075","2016-01-31T20:00:00+01:00","Breukelen-Snelweg",4.16246125,"µg/m³","NL"
"6076","2016-01-31T20:00:00+01:00","Breda-Tilburgseweg",4.06910217391304,"µg/m³","NL"
"6077","2016-01-31T20:00:00+01:00","Breda-Bastenakenstraat",4.30995708333333,"µg/m³","NL"
"6078","2016-01-31T20:00:00+01:00","Badhoevedorp-Sloterweg",7.1375,"µg/m³","NL"
"6079","2016-01-31T20:00:00+01:00","Wieringerwerf-Medemblikkerweg",2.50667833333333,"µg/m³","NL"
"6080","2016-01-31T20:00:00+01:00","Groningen-Nijensteinheerd",6.60543208333333,"µg/m³","NL"
"6081","2016-01-31T20:00:00+01:00","Nijmegen-Ruyterstraat",5.90632458333333,"µg/m³","NL"
"6082","2016-01-31T20:00:00+01:00","Heerlen-Jamboreepad",0.662715,"µg/m³","NL"
"6083","2016-01-31T20:00:00+01:00","Nijmegen-Graafseweg",5.51783041666667,"µg/m³","NL"
"6084","2016-01-31T20:00:00+01:00","Amsterdam-Einsteinweg",9.34583333333333,"µg/m³","NL"
"6085","2016-01-31T20:00:00+01:00","Hoek v. Holland-Berghaven",3.105,"µg/m³","NL"
"6086","2016-01-31T20:00:00+01:00","Amsterdam-Van Diemenstraat",5.45,"µg/m³","NL"
"6087","2016-01-31T20:00:00+01:00","Rotterdam Zuid-Pleinweg",7.49583333333333,"µg/m³","NL"
"6088","2016-01-31T16:00:00-03:00","21 de mayo",11.45,"µg/m³","CL"
"6089","2016-01-31T20:00:00+01:00","Rotterdam Zuid-Zwartewaalstraat",6.68333333333333,"µg/m³","NL"
"6090","2016-01-31T20:00:00+01:00","Vlaardingen-Floreslaan",3.59098125,"µg/m³","NL"
"6091","2016-01-31T20:00:00+01:00","Rotterdam-Bentinckplein",5.57064833333333,"µg/m³","NL"
"6092","2016-01-31T20:00:00+01:00","Rotterdam-Schiedamsevest",8.18830125,"µg/m³","NL"
"6093","2016-01-31T20:00:00+01:00","Vredepeel-Vredeweg",2.77725166666667,"µg/m³","NL"
"6094","2016-01-31T20:00:00+01:00","Enschede-Winkelhorst.",4.74535416666667,"µg/m³","DE"
"6095","2016-01-31T20:00:00+01:00","Amsterdam-Westerpark",6.05416666666667,"µg/m³","NL"
"6096","2016-01-31T20:00:00+01:00","Wijk aan Zee-Burgemeester Rothestraat",9.1625,"µg/m³","NL"
"6097","2016-01-31T20:00:00+01:00","Velsen-Staalstraat",13.7125,"µg/m³","NL"
"6098","2016-01-31T20:00:00+01:00","Amsterdam-Vondelpark",4.09583333333333,"µg/m³","NL"
"6099","2016-01-31T20:00:00+01:00","Amsterdam-Stadhouderskade",5.4875,"µg/m³","NL"
"6100","2016-01-31T16:00:00-03:00","Arica",6.106,"µg/m³","CL"
"6101","2016-01-31T20:00:00+01:00","Maastricht-Hoge Fronten",7.78260869565217,"µg/m³","BE"
"6102","2016-01-31T20:00:00+01:00","Maastricht-A2 Nassaulaan",3.30434782608696,"µg/m³","BE"
"6103","2016-01-31T20:00:00+01:00","Maassluis-Kwartellaan",4.29166666666667,"µg/m³","NL"
"6104","2016-01-31T16:00:00-03:00","Linares",16.7,"µg/m³","CL"
"6105","2016-01-31T20:00:00+01:00","Geleen-Asterstraat",4.78260869565217,"µg/m³","NL"
"6106","2016-01-31T20:00:00+01:00","Zaandam-Wagenschotpad",4.9125,"µg/m³","NL"
"6107","2016-01-31T20:00:00+01:00","IJmuiden-Kanaaldijk",6.8,"µg/m³","NL"
"6108","2016-01-31T20:00:00+01:00","Ridderkerk-Hogeweg",6.0625,"µg/m³","NL"
"6109","2016-01-31T16:00:00-03:00","Coquimbo",6.849,"µg/m³","CL"
"6110","2016-01-31T20:00:00+01:00","Biest Houtakker-Biestsestraat",3.87778291666667,"µg/m³","NL"
"6111","2016-01-31T20:00:00+01:00","Den Haag-Rebecquestraat",5.65615041666667,"µg/m³","NL"
"6112","2016-01-31T20:00:00+01:00","Cabauw-Wielsekade",1.29543041666667,"µg/m³","NL"
"6113","2016-01-31T20:00:00+01:00","Schiedam-Alphons Arienstraat",7.85416666666667,"µg/m³","NL"
"6114","2016-01-31T20:00:00+01:00","Hoogvliet-Leemkuil",5.2125,"µg/m³","NL"
"6115","2016-01-31T20:00:00+01:00","Beverwijk West-Creutzberglaan",7.57916666666667,"µg/m³","NL"
"6116","2016-02-01T03:00:00+08:00","US Diplomatic Post: Ulaanbaatar",369,"µg/m³","MN"
"6117","2016-01-31T20:00:00+01:00","Amsterdam-Hoogtij",7.00416666666667,"µg/m³","NL"
